street_name,osm_way_id,source_dataset,province
Jalan Kamboja V,160825905,OpenStreetMap,SumateraUtara
Jalan Samping RSUD Cimacan,594951408,OpenStreetMap,JawaBarat
Jalan Johar I,978429029,OpenStreetMap,JawaBarat
Jalan Cibodas I,935683490,OpenStreetMap,JawaBarat
Jalan Kresna III,229626009,OpenStreetMap,JawaBarat
Jalan Sutera Palmyra IB,573387687,OpenStreetMap,Banten
Orchid Raya,204081966,OpenStreetMap,SulawesiSelatan
trek curug lawe dan benowo,1188446796,OpenStreetMap,JawaTengah
Jl. Dharmawangsa II,833593314,OpenStreetMap,JawaBarat
Jalan Krendang Utara Gang IV,492702858,OpenStreetMap,JakartaRaya
Jalan Sunter Jaya VI A,956449716,OpenStreetMap,JakartaRaya
Jalan Ksatria,221700451,OpenStreetMap,JawaBarat
Gang Tenang,138136118,OpenStreetMap,KalimantanTimur
Jalan Meditran VIII,1223827858,OpenStreetMap,Banten
Jalan Maizonet Lidah Kulon II,428903420,OpenStreetMap,JawaTimur
Jalan Tanah Merah IV Gang Selada,156519534,OpenStreetMap,JawaTimur
Jalan Sei Putih Baru,54580857,OpenStreetMap,SumateraUtara
Jalan Cikampek 10,685814602,OpenStreetMap,JawaBarat
Jalan Puspogiwang Dalam V,182321063,OpenStreetMap,JawaTengah
Gang LDII 8,1061688382,OpenStreetMap,Banten
Jalan Perumahan Sail Mekar Baru,653139654,OpenStreetMap,Riau
Jalan Pare I,711202111,OpenStreetMap,JawaBarat
Jalan Taman Gunung Anyar,464656150,OpenStreetMap,JawaTimur
Jalan Merpati Gang Pipiti XVI,577019661,OpenStreetMap,Bali
Jalan TPA I,514115207,OpenStreetMap,JakartaRaya
Jalan Dharma Wanita,302906562,OpenStreetMap,Bengkulu
Mutiara Hijau,742399736,OpenStreetMap,SulawesiSelatan
Jalan Ibnu Taimia,540117013,OpenStreetMap,Banten
Gang Haji Safri Kisam,512761777,OpenStreetMap,JakartaRaya
Jalan Merbabu XI,568880371,OpenStreetMap,Banten
Gang Haji Porod,698802260,OpenStreetMap,JawaBarat
Jalan Agung Lestari,540138562,OpenStreetMap,KalimantanBarat
Jalan Layur V,229291192,OpenStreetMap,Yogyakarta
Jalan Tamako I,137928877,OpenStreetMap,SulawesiTengah
Jalan Gegerkalong Tengah 9,520142437,OpenStreetMap,JawaBarat
Jalan Gayungsari Timur VIII,782039662,OpenStreetMap,JawaTimur
Jalan Kencana Baru II,30831717,OpenStreetMap,JakartaRaya
Jalan Ciujung,717439826,OpenStreetMap,JawaBarat
